Unnamed: 0,smog_index,masc,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,mttr,hdd,author,author_num
8488 maksim-gorkii zhizn-klima-samgina,11.911652498703544,0.22707423580786026,0.16375545851528384,0.048034934497816595,0.3951965065502183,0.2205240174672489,0.0982532751091703,0.05458515283842795,0.008733624454148471,0.002183406113537118,0.0,0.07641921397379912,0.03275109170305677,0.028384279475982533,0.0180942638449178,0.9490862223092418,maksim-gorkii,6.0
8489 maksim-gorkii zhizn-klima-samgina,18.577026087642174,0.30210325047801145,0.14340344168260039,0.07074569789674952,0.44933078393881454,0.1931166347992352,0.10133843212237094,0.05736137667304015,0.0076481835564053535,0.01338432122370937,0.0,0.07648183556405354,0.017208413001912046,0.0057361376673040155,0.0160506875684848,0.9420673821234608,maksim-gorkii,6.0
8490 maksim-gorkii zhizn-klima-samgina,10.493602693003137,0.25165562913907286,0.19646799116997793,0.04856512141280353,0.5011037527593819,0.09713024282560706,0.13245033112582782,0.052980132450331126,0.004415011037527594,0.004415011037527594,0.0,0.11699779249448124,0.019867549668874173,0.01545253863134658,0.0251644632686751,0.9165234803119932,maksim-gorkii,6.0
8491 maksim-gorkii zhizn-klima-samgina,12.236689460226678,0.3410041841004184,0.13598326359832635,0.07112970711297072,0.5104602510460251,0.12133891213389121,0.12761506276150628,0.03556485355648536,0.0020920502092050207,0.012552301255230125,0.0020920502092050207,0.07322175732217573,0.008368200836820083,0.0020920502092050207,0.0176561897096382,0.942897311422568,maksim-gorkii,6.0
8492 maksim-gorkii zhizn-klima-samgina,13.838890945740108,0.3379721669980119,0.1272365805168986,0.0536779324055666,0.47713717693836977,0.18687872763419483,0.11332007952286283,0.041749502982107355,0.009940357852882704,0.007952286282306162,0.0019880715705765406,0.06958250497017893,0.02584493041749503,0.019880715705765408,0.0177926552767758,0.9402061612381236,maksim-gorkii,6.0
8493 maksim-gorkii zhizn-klima-samgina,12.36430225388349,0.19914346895074947,0.18201284796573874,0.06852248394004283,0.43683083511777304,0.145610278372591,0.10706638115631692,0.04925053533190578,0.006423982869379015,0.004282655246252677,0.0,0.07922912205567452,0.008565310492505354,0.03854389721627409,0.0217212127627652,0.9238753183943952,maksim-gorkii,6.0
8494 maksim-gorkii zhizn-klima-samgina,14.959210659857217,0.20386266094420602,0.19313304721030042,0.06866952789699571,0.43991416309012876,0.15665236051502146,0.10085836909871244,0.05793991416309013,0.008583690987124463,0.002145922746781116,0.004291845493562232,0.08583690987124463,0.03648068669527897,0.004291845493562232,0.0214193824040736,0.9331500366565948,maksim-gorkii,6.0
8495 maksim-gorkii zhizn-klima-samgina,14.064889518120657,0.26997840172786175,0.16414686825053995,0.08855291576673865,0.490280777537797,0.12095032397408208,0.10583153347732181,0.04967602591792657,0.0,0.01079913606911447,0.0064794816414686825,0.04103671706263499,0.03023758099352052,0.008639308855291577,0.0167534036050974,0.9360566279191508,maksim-gorkii,6.0
8496 maksim-gorkii zhizn-klima-samgina,12.553279569776883,0.2658536585365854,0.2073170731707317,0.05853658536585366,0.5170731707317073,0.13414634146341464,0.0951219512195122,0.041463414634146344,0.014634146341463415,0.007317073170731708,0.004878048780487805,0.02195121951219512,0.026829268292682926,0.012195121951219513,0.0173774026027316,0.9464034617823044,maksim-gorkii,6.0
8497 maksim-gorkii zhizn-klima-samgina,13.030414306005628,0.3153153153153153,0.18018018018018017,0.06306306306306306,0.5382882882882883,0.1554054054054054,0.11486486486486487,0.0472972972972973,0.02027027027027027,0.006756756756756757,0.009009009009009009,0.07207207207207207,0.01126126126126126,0.013513513513513514,0.0138621279339648,0.95205305971006,maksim-gorkii,6.0
