,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,femn,masc,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
tri-sestry. Text/chapter2.xhtml,727.0,4795.0,1763.0,1808.0,492.0,3987.0,1445.0,3034.0,29139.0,22688.0,4415.0,9682.0,1755.0,1.3819057563687522,76.90760431473065,0.42985261541639375,7.323179234424655,0.42985261541639375,44.30154204072617,3997.0,844.0,896.0,232.0,513.0,2349.0,361.0,4.0,329.0,0.36767466110531805,25.459976974236948,18.002922367336307,0.8819447827433131,0.9035966355968077,0.032073348870844974,31.178534054141473,0.8476696165192211,0.8526315789473683,154.71646832144896,162.74370065138942,0.9201036697020111,208.1347108036652,1111.1695756997055,anton-chekhov,305.0,164.0,78.0,228.0,27.0
tri-sestry. Text/chapter3.xhtml,754.0,4406.0,1554.0,1718.0,378.0,3706.0,1334.0,2750.0,26645.0,20523.0,4019.0,8709.0,1750.0,0.702661995759339,80.44341877064193,-0.24202815487922535,6.309925593408701,-0.24202815487922535,44.83578457637343,3560.0,653.0,804.0,174.0,472.0,2133.0,431.0,1.0,350.0,0.35270086246028143,23.41147454269545,16.55441240671618,0.8757991349331031,0.8974409494164445,0.034083246050314035,29.33992843650484,0.8368005508377746,0.8347727272727273,133.02912956592624,134.18782855860917,0.912590415054916,185.5951766213399,1064.4445755327295,anton-chekhov,348.0,148.0,94.0,198.0,10.0
tri-sestry. Text/chapter4.xhtml,611.0,3661.0,1338.0,1325.0,322.0,3031.0,1100.0,2253.0,21525.0,16491.0,3316.0,7143.0,1397.0,0.5890658424200588,81.78415236506711,-1.1610818145078525,6.468244759572564,-1.1610818145078525,42.1841138805054,2909.0,599.0,535.0,164.0,321.0,1822.0,371.0,1.0,300.0,0.3654739142310844,22.11343702912758,15.636561278637817,0.8773308876676427,0.8970144558974035,0.03442280886323284,29.050505552093533,0.8153931339978083,0.8208219178082194,99.90578468557754,108.86725999116237,0.8948079835845916,141.36328149726754,1034.294238013772,anton-chekhov,329.0,123.0,84.0,172.0,10.0
tri-sestry. Text/chapter5.xhtml,685.0,4104.0,1544.0,1543.0,400.0,3350.0,1144.0,2606.0,24566.0,18891.0,3710.0,8158.0,1558.0,0.8567704073647242,79.57859933694739,-0.5442376360609558,6.8060624302950155,-0.5442376360609558,43.588706762851984,3321.0,666.0,697.0,186.0,410.0,2006.0,362.0,3.0,386.0,0.3762183235867446,24.10147488470226,17.04231632757023,0.882497732698112,0.9026938626444984,0.03252021150501458,30.75010750916553,0.8390924784217358,0.8370731707317073,129.99418404091142,148.99083282724746,0.9084524330675484,170.82652274479568,1155.0294309830651,anton-chekhov,304.0,93.0,151.0,145.0,11.0
tri-sestry. Text/annotation.xhtml,9.0,263.0,187.0,123.0,52.0,174.0,60.0,166.0,1766.0,1378.0,249.0,591.0,87.0,14.133071398394595,33.79249894381073,9.956377059569071,21.30148883673278,9.956377059569071,75.99028305872412,252.0,47.0,67.0,33.0,28.0,137.0,6.0,1.0,10.0,0.7110266159695817,11.530913978792478,8.153587467682916,0.9387946899253452,0.9285334941403246,0.02529191292561929,39.5383300164321,0.8606542056074781,0.8400000000000001,198.59492941515413,136.28205128205127,0.8912680491591138,135.10980392156864,1508.4390832252827,anton-chekhov,,1.0,3.0,12.0,4.0
silnye-oshusheniya. Text/chapter1.xhtml,80.0,1542.0,799.0,595.0,179.0,1300.0,524.0,955.0,9407.0,7448.0,1529.0,3196.0,405.0,7.984970492866406,57.212260051880676,4.603005852788584,13.274841208876575,4.603005852788584,57.86125162127107,1303.0,158.0,392.0,120.0,128.0,786.0,72.0,3.0,90.0,0.5181582360570688,20.347197119249568,14.387641061160755,0.9104359982580317,0.9190701756847368,0.028093359912430196,35.59559992528838,0.8662424648359034,0.8633333333333334,215.17184482652894,193.03550710045252,0.9035596858394062,156.97066983749505,1525.317014729482,anton-chekhov,112.0,37.0,14.0,142.0,3.0
silnye-oshusheniya. Text/annotation.xhtml,5.0,89.0,76.0,55.0,21.0,59.0,19.0,61.0,652.0,519.0,87.0,218.0,33.0,10.012898876404495,36.4837640449438,10.457843820224717,18.168973480857026,10.457843820224717,79.59775280898876,82.0,10.0,29.0,6.0,16.0,44.0,2.0,1.0,7.0,0.8539325842696629,8.055983888048337,5.696440836368547,0.9648216036142773,0.9463502983018817,0.018045848324762952,55.41440790166543,0.8874999999999998,0.86,170.60615384615383,10.0,0.9139793161461705,186.47619047619048,1851.9205063126674,anton-chekhov,,,1.0,9.0,3.0
ty-i-vy. Text/chapter1.xhtml,124.0,1367.0,732.0,546.0,169.0,1154.0,451.0,872.0,8770.0,6722.0,1381.0,2878.0,662.0,4.180838013545081,65.9726047148217,2.8348173803006347,10.371467606323586,2.8348173803006347,50.96567123675579,1098.0,155.0,258.0,89.0,146.0,672.0,149.0,5.0,138.0,0.5354791514264814,19.798250903657735,13.999477469609078,0.913495708548239,0.9208341615223588,0.027586312908586354,36.249860694096085,0.8717754172989414,0.8755555555555555,217.1873988503939,219.79643396781628,0.9183462190367686,197.76763397585256,1261.1992047602446,anton-chekhov,79.0,52.0,29.0,73.0,4.0
ty-i-vy. Text/annotation.xhtml,2.0,87.0,63.0,66.0,38.0,45.0,10.0,73.0,803.0,699.0,87.0,291.0,16.0,29.142241379310338,-50.73913793103452,31.45761206896551,38.58769583148427,31.45761206896551,119.36206896551724,86.0,38.0,14.0,10.0,15.0,56.0,,1.0,1.0,0.7241379310344828,6.754308969478107,4.7760176745470915,0.9277250262013248,0.886752184572482,0.037264375541049166,26.835281296970454,0.7215789473684208,0.74,60.979985153037916,26.359840425531914,0.819078555567887,76.34693877551021,1018.2476076247748,anton-chekhov,,,,6.0,4.0
s-zhenoi-possorilsya. Text/chapter1.xhtml,32.0,302.0,231.0,123.0,22.0,260.0,85.0,197.0,1892.0,1472.0,288.0,600.0,128.0,2.5376862582781463,75.16227649006622,2.1195366307947054,7.380697442944975,2.1195366307947054,50.165976821192054,261.0,55.0,61.0,21.0,28.0,155.0,11.0,,19.0,0.7649006622516556,13.292556299678871,9.39925669880689,0.9530666785447717,0.9470742531696524,0.018924673412109575,52.841070396497145,0.9290118577075085,0.93,359.6777464788733,1.0,0.9320224896032466,237.9633507853403,1736.0048600700047,anton-chekhov,16.0,6.0,15.0,33.0,
s-zhenoi-possorilsya. Text/annotation.xhtml,4.0,73.0,60.0,36.0,14.0,49.0,16.0,47.0,484.0,374.0,71.0,161.0,24.0,8.452499999999997,50.56068493150687,6.15090582191781,16.59028415717215,6.15090582191781,67.56506849315068,66.0,13.0,28.0,1.0,4.0,43.0,4.0,1.0,7.0,0.821917808219178,7.022468831767834,4.965635331614208,0.9542904713081735,0.9248231360675558,0.024531190847340116,40.76442950621896,0.8983333333333331,0.86,114.77846153846151,1.0,0.8917802859776635,175.2,1016.3579237020667,anton-chekhov,,,,6.0,3.0
rybya-lyubov. Text/chapter1.xhtml,48.0,682.0,434.0,269.0,66.0,576.0,197.0,445.0,4186.0,3317.0,676.0,1386.0,189.0,5.207567204301075,66.22545698924732,3.3918011363636396,10.417171745466554,3.3918011363636396,53.6511485826002,624.0,128.0,173.0,29.0,83.0,321.0,34.0,1.0,42.0,0.6363636363636364,16.618718909164393,11.751208835303247,0.93073056408261,0.9310824223818653,0.024444144916914174,40.90959219064554,0.8851184834123202,0.8846153846153848,224.4812707024568,243.5595238095238,0.9126150690079728,169.87637161667885,1499.8322178059905,anton-chekhov,13.0,3.0,2.0,83.0,2.0
rybya-lyubov. Text/annotation.xhtml,6.0,102.0,87.0,52.0,17.0,76.0,21.0,72.0,702.0,556.0,100.0,231.0,32.0,8.272352941176468,48.626176470588234,7.851637254901966,14.931879361603942,7.851637254901966,67.98039215686273,97.0,27.0,33.0,5.0,5.0,62.0,2.0,1.0,5.0,0.8529411764705882,8.614283623897068,6.091218365521843,0.9656074314268817,0.9498193234810544,0.017122655397838412,58.40215648597597,0.9369811320754717,0.9,194.208,1.0,0.925517257608113,234.13636363636363,1747.4821494328687,anton-chekhov,,,,14.0,4.0
protekciya. Text/chapter1.xhtml,56.0,607.0,348.0,244.0,72.0,509.0,201.0,380.0,3839.0,3001.0,613.0,1274.0,221.0,4.042831548599668,66.6032366439162,2.9497771387385257,10.07492607739044,2.9497771387385257,51.03697928924453,510.0,69.0,166.0,35.0,59.0,312.0,34.0,,41.0,0.5733113673805601,14.124884277346661,9.987801455987071,0.9131896993173922,0.9112818627092195,0.03119095049537209,32.060581165949834,0.8593548387096724,0.8616666666666667,156.53130970190887,158.99691955641612,0.889495257089237,132.5079250720461,1153.035314874035,anton-chekhov,40.0,16.0,8.0,66.0,7.0
protekciya. Text/annotation.xhtml,4.0,62.0,53.0,40.0,14.0,38.0,8.0,44.0,452.0,357.0,60.0,152.0,20.0,8.901774193548384,39.34306451612903,9.353233870967735,16.59028415717215,9.353233870967735,80.01612903225806,61.0,7.0,30.0,1.0,5.0,35.0,1.0,,1.0,0.8548387096774194,6.731006731010097,4.759540503709535,0.961997246306954,0.9336070033446874,0.02120225948139949,47.164784530502,0.8784615384615384,0.88,119.59111111111113,1.0,0.891591750396615,157.58333333333334,1583.279325723458,anton-chekhov,,,,4.0,3.0
v-vagone. Text/chapter1.xhtml,162.0,1481.0,777.0,604.0,194.0,1129.0,424.0,899.0,9157.0,7094.0,1428.0,3004.0,548.0,2.696590183476296,73.04604317236436,1.5097663428114103,9.725029588113115,1.5097663428114103,49.925229866373236,1207.0,189.0,339.0,59.0,162.0,726.0,197.0,8.0,162.0,0.5246455097906819,20.190333358004764,14.276721631862126,0.9116451111714954,0.9198336403272773,0.027867325183658736,35.88431948202891,0.8570391061452531,0.8641379310344827,218.4801655685631,222.71209957466044,0.9080351541876024,159.54869704469354,1237.950392196472,anton-chekhov,61.0,51.0,18.0,34.0,4.0
v-vagone. Text/annotation.xhtml,5.0,83.0,73.0,56.0,20.0,52.0,12.0,60.0,633.0,501.0,81.0,208.0,37.0,9.837975903614456,34.64295180722891,11.402565060240967,17.732307541720903,11.402565060240967,84.0698795180723,80.0,8.0,37.0,7.0,7.0,51.0,4.0,1.0,3.0,0.8795180722891566,8.012790979247395,5.66589883765623,0.9709468663744758,0.9547690988554128,0.015139109628182204,66.0540827406686,0.937058823529412,0.84,192.8919999999999,1.0,0.923760207261301,200.1764705882353,2334.8783457242234,anton-chekhov,,,,3.0,3.0
skuchnaya-istoriya. Text/chapter1.xhtml,1264.0,18124.0,5946.0,7338.0,2773.0,14548.0,5607.0,11714.0,114330.0,90286.0,18815.0,39267.0,5076.0,6.251913086780519,57.983670201620896,4.166616375866397,13.145145914383214,4.166616375866397,54.82635864327041,14788.0,2505.0,2880.0,1514.0,2321.0,8406.0,1698.0,43.0,1554.0,0.32807327300816597,44.16699764877113,31.23078354209637,0.8863315474943124,0.916717795076743,0.026693675642031955,37.462057058391636,0.8735977869985515,0.8713812154696127,242.6113648936659,256.055601790276,0.9118426261816667,163.712639209541,1412.134891363832,anton-chekhov,1512.0,270.0,203.0,695.0,73.0
skuchnaya-istoriya. Text/annotation.xhtml,7.0,136.0,114.0,77.0,35.0,84.0,21.0,98.0,965.0,753.0,125.0,335.0,47.0,10.911617647058822,33.53741596638656,9.069861344537813,19.819420831172575,9.069861344537813,76.04621848739495,126.0,31.0,36.0,15.0,12.0,81.0,7.0,1.0,10.0,0.8382352941176471,9.775419353123004,6.91226531353549,0.9640812470149492,0.9517279324742164,0.016835293157362027,59.39902505129249,0.9225287356321833,0.87,164.48496950787126,13.1,0.943510022495511,340.0,1351.2413086344707,anton-chekhov,,,,6.0,3.0
tatyana-repina. Text/chapter1.xhtml,555.0,3666.0,1495.0,1542.0,564.0,2975.0,1033.0,2506.0,23878.0,18633.0,3208.0,8107.0,1932.0,2.789883782309314,65.34270837941051,2.6302139248905263,8.962550519169962,2.6302139248905263,48.66759853142832,3169.0,514.0,1099.0,230.0,478.0,2088.0,251.0,10.0,255.0,0.4078014184397163,24.69135720383503,17.45942611553106,0.8907041995433354,0.9089310899904431,0.030664954730716856,32.6105161015714,0.845098147636198,0.8520547945205482,147.78842856952352,162.73109411358058,0.9137864288185494,162.75668669444713,1160.8862153891428,anton-chekhov,144.0,98.0,73.0,85.0,11.0
tatyana-repina. Text/annotation.xhtml,5.0,120.0,100.0,70.0,34.0,69.0,18.0,85.0,867.0,686.0,117.0,296.0,35.0,13.176666666666666,27.38833333333332,11.478333333333332,23.10490837110397,11.478333333333332,82.33333333333334,117.0,42.0,33.0,7.0,6.0,81.0,2.0,1.0,3.0,0.8333333333333334,9.128709291752768,6.454972243679028,0.9619171026103941,0.9469557741602679,0.018316295158009335,54.59619379210107,0.8997183098591548,0.8899999999999999,201.60000000000008,1.0,0.8989013389811508,125.26315789473684,2598.976557559532,anton-chekhov,,,,9.0,5.0
belolobyi. Text/chapter1.xhtml,71.0,1660.0,844.0,637.0,168.0,1390.0,473.0,1085.0,9939.0,7867.0,1615.0,3392.0,425.0,9.782964534193109,53.63388681486509,5.185289496012217,13.649859154200257,5.185289496012217,61.75377566604446,1524.0,331.0,372.0,118.0,183.0,773.0,41.0,5.0,129.0,0.5084337349397591,20.715165273035037,14.647833837963152,0.9087714966756899,0.9181970462190169,0.028330882327567156,35.297171067169955,0.8728243327126077,0.8757575757575756,223.8193174300502,219.6125617348293,0.8918462506260718,120.55419366135528,1325.7420616125885,anton-chekhov,6.0,1.0,4.0,267.0,10.0
belolobyi. Text/annotation.xhtml,8.0,140.0,114.0,77.0,32.0,87.0,24.0,95.0,1007.0,787.0,129.0,337.0,51.0,9.557142857142857,39.4157142857143,9.058892857142858,17.732307541720903,9.058892857142858,72.5,134.0,23.0,50.0,11.0,13.0,78.0,4.0,,6.0,0.8142857142857143,9.634758503905088,6.812803073206044,0.9584259732604591,0.9443958615535772,0.019371643279615568,51.62184671510455,0.9074725274725262,0.8400000000000001,150.71576650300057,11.166666666666668,0.9213555919521336,207.0212765957447,1439.1682121607007,anton-chekhov,,,,13.0,5.0
