,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,masc,,femn,neut,sing,plur,past,pres,futr,pssv,actv,3per,1per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
23 anton-chekhov babe-carstvo,19.0,518.0,341.0,221.0,83.0,403.0,156.0,330.0,3199.0,2559.0,522.0,1100.0,118.0,12.270877870351555,43.767412111359505,5.557065637065644,18.528690429789663,7.5326825848404795,69.92725055882951,117.0,481.0,109.0,32.0,239.0,70.0,46.0,16.0,,3.0,6.0,34.0,3.0,,0.6583011583011583,14.982679833083766,10.59435451032046,0.9331048926163716,0.930661457033807,0.024645165954304372,40.57590855156511,0.8574413646055417,0.8520000000000001,194.68962018154537,204.04548546691404,0.8823660052486296,93.11752433936022,1682.8844510420447,anton-chekhov
24 anton-chekhov babe-carstvo,30.0,487.0,341.0,207.0,62.0,385.0,124.0,323.0,3073.0,2424.0,506.0,1025.0,136.0,6.728809719370293,59.237826830937735,4.889712525667349,12.75995934952849,4.6720536960985655,58.738466803559206,129.0,453.0,106.0,25.0,241.0,69.0,55.0,9.0,1.0,2.0,2.0,27.0,1.0,6.0,0.7002053388090349,15.452184976044032,10.926344780709625,0.9424100783821187,0.9400025878602425,0.02142857712381766,46.66665426368928,0.8799543378995417,0.8822222222222221,326.08640692020026,374.6392776705277,0.907507644945413,148.66959798994975,1729.1459920267746,anton-chekhov
25 anton-chekhov babe-carstvo,47.0,446.0,292.0,189.0,63.0,361.0,130.0,294.0,2875.0,2200.0,499.0,952.0,174.0,3.6418500143116113,66.21362799351206,3.111704035874439,10.286000299319046,2.500689724262955,51.86604331647744,87.0,388.0,116.0,23.0,221.0,56.0,49.0,12.0,9.0,4.0,2.0,27.0,19.0,12.0,0.6547085201793722,13.82660073526305,9.776883140663406,0.9305667206775274,0.9261409573035465,0.026207815555721974,38.15655669103139,0.8895214105793443,0.8825000000000001,243.52538701007683,208.15388073119567,0.9195882577347859,205.88174273858922,1154.635490662605,anton-chekhov
26 anton-chekhov babe-carstvo,31.0,476.0,326.0,216.0,60.0,392.0,114.0,338.0,3062.0,2414.0,501.0,1040.0,143.0,6.8834507996747085,55.56278530767145,5.283445378151264,12.349960660834022,5.014175115207372,60.73298997018162,110.0,427.0,106.0,40.0,241.0,63.0,62.0,18.0,3.0,4.0,3.0,40.0,5.0,4.0,0.6848739495798319,14.942185501559845,10.56572069390028,0.9386058687644458,0.9356705114144891,0.022928731632242245,43.61340243495222,0.8978922716627639,0.8999999999999999,297.02394059570696,252.84946306966998,0.917395225168338,183.52272727272728,1616.4812344201491,anton-chekhov
27 anton-chekhov babe-carstvo,42.0,457.0,303.0,183.0,66.0,376.0,150.0,292.0,2878.0,2216.0,505.0,962.0,155.0,4.10840627279358,66.17728925705951,3.1229540481400413,11.13297278325115,2.366943029071585,50.92471605710118,85.0,392.0,89.0,24.0,196.0,61.0,55.0,19.0,7.0,,,41.0,11.0,13.0,0.6630196936542669,14.173742172667136,10.02234920508268,0.9329025585231374,0.9290044929687943,0.02522539675313855,39.64258757894778,0.8839215686274505,0.8866666666666667,259.55341148410344,235.21726572528883,0.9103804095019855,169.70032573289902,1492.508534483638,anton-chekhov
28 anton-chekhov babe-carstvo,29.0,488.0,335.0,190.0,52.0,415.0,142.0,325.0,3021.0,2383.0,510.0,1015.0,127.0,6.838918880723572,59.95606416054268,4.447663934426227,11.888907218908807,4.248949406444318,55.762012436404746,97.0,447.0,109.0,36.0,242.0,38.0,59.0,11.0,6.0,3.0,,32.0,9.0,,0.6864754098360656,15.164737462121854,10.723088694380039,0.9392300958247806,0.9366049259742696,0.022604320827373434,44.23932962360973,0.8895671981776766,0.8933333333333334,305.0147775743608,260.06956481222625,0.9060069742477487,135.80342857142858,1801.2412807418161,anton-chekhov
29 anton-chekhov babe-carstvo,18.0,494.0,348.0,228.0,85.0,380.0,125.0,340.0,3188.0,2559.0,504.0,1112.0,125.0,13.290166441745388,35.87139226270807,6.885587044534418,19.262423642586644,9.085980431848853,73.59829059829059,81.0,456.0,147.0,31.0,237.0,77.0,56.0,15.0,3.0,6.0,1.0,34.0,1.0,3.0,0.7044534412955465,15.657260219171494,11.071354875778534,0.9435177700405525,0.9413275090678699,0.020968060620255715,47.69158283689684,0.8857078651685384,0.8866666666666668,299.8680252980335,394.9420625,0.911121726404156,151.6450809464508,1838.072506324371,anton-chekhov
30 anton-chekhov babe-carstvo,29.0,482.0,322.0,197.0,60.0,399.0,155.0,304.0,3003.0,2354.0,504.0,1002.0,145.0,6.7296566032336536,60.28992917441694,4.4251867219917,12.76702632775012,4.194800543711544,57.49205894977822,109.0,442.0,73.0,26.0,213.0,68.0,67.0,13.0,3.0,2.0,4.0,31.0,4.0,5.0,0.6680497925311203,14.666698101311717,10.370921685053377,0.9347043998684368,0.9315824132569284,0.02433636056355656,41.09077844192896,0.8983833718244786,0.9044444444444443,274.415065812878,346.09647117977784,0.9124838325728784,166.79280575539568,1416.2969611687045,anton-chekhov
31 anton-chekhov babe-carstvo,34.0,475.0,310.0,201.0,67.0,388.0,148.0,307.0,2999.0,2348.0,505.0,1021.0,146.0,5.946746130030963,59.48986687306504,4.352105263157895,12.461003182660136,3.822918421052634,56.28637770897833,99.0,398.0,89.0,20.0,215.0,74.0,58.0,22.0,4.0,4.0,,51.0,18.0,8.0,0.6526315789473685,14.22377549997483,10.057728110107277,0.930760877851624,0.9271235337703354,0.025867406676433086,38.65868784252988,0.8792957746478843,0.8866666666666666,236.36670130898472,201.33110071410982,0.901548174109364,151.31048387096774,1430.6465844546697,anton-chekhov
32 anton-chekhov babe-carstvo,26.0,488.0,319.0,209.0,69.0,394.0,139.0,324.0,3081.0,2437.0,507.0,1054.0,137.0,8.373726355611602,52.6288524590164,5.271434426229508,14.452796202874582,5.4862856242118525,61.59709962168979,90.0,430.0,85.0,37.0,209.0,71.0,49.0,22.0,4.0,4.0,4.0,37.0,8.0,13.0,0.6536885245901639,14.440451493781705,10.210941174648454,0.9313242904123539,0.928057557053519,0.025545009386401144,39.14658964785305,0.8515261958997696,0.8533333333333334,187.6684879026833,187.71573295985058,0.9014642753493733,148.535,1478.630902101491,anton-chekhov
33 anton-chekhov babe-carstvo,35.0,480.0,313.0,202.0,66.0,390.0,144.0,312.0,2985.0,2350.0,502.0,1017.0,133.0,5.596874999999997,61.66955357142858,4.045000000000005,12.190788395204937,3.4547738095238145,55.79761904761905,73.0,418.0,113.0,40.0,223.0,59.0,54.0,17.0,4.0,3.0,1.0,38.0,8.0,16.0,0.6520833333333333,14.286430041593082,10.102031561357679,0.9307421886398779,0.9272286056965721,0.025830503572260445,38.71391810858488,0.8972157772621785,0.9111111111111112,251.43508386701473,280.9673076923077,0.9096817175240224,173.65558912386706,1446.9457022388947,anton-chekhov
