,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,neut,femn,masc,sing,plur,past,pres,futr,actv,pssv,1per,3per,2per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author
kreicerova-sonata. Text/chapter21.xhtml,112.0,1849.0,794.0,670.0,223.0,1525.0,647.0,1101.0,11034.0,8667.0,1831.0,3715.0,473.0,6.1664923607355355,64.62082390095034,2.9338696616897124,12.52533924531571,2.9338696616897124,52.744731708259295,1550.0,181.0,272.0,330.0,908.0,138.0,222.0,71.0,7.0,7.0,7.0,135.0,155.0,9.0,0.429421308815576,18.46511627906977,13.056808936328343,0.8876267223042833,0.899308444456616,0.034397137364934445,29.072186716893256,0.8234111111111093,0.8244444444444444,124.53806250294504,116.54737269112067,0.8797265251141375,124.56988698505286,1173.7320848237027,lev-tolstoi
kreicerova-sonata. Text/chapter22.xhtml,65.0,921.0,443.0,296.0,103.0,744.0,316.0,531.0,5192.0,4010.0,890.0,1752.0,228.0,4.239568028063143,74.08796416938114,0.19027813413513783,11.179377617542059,0.19027813413513783,46.308210139480494,736.0,64.0,176.0,105.0,470.0,33.0,102.0,42.0,7.0,2.0,3.0,86.0,76.0,23.0,0.4809989142236699,14.597346299964448,10.32188255603322,0.89277055871362,0.8956167727010491,0.036174105734206284,27.644083515087388,0.7845183486238542,0.7899999999999999,82.06116886562629,94.96923076923076,0.8480826731303371,93.05073577860752,1122.3649710916277,lev-tolstoi
kreicerova-sonata. Text/chapter23.xhtml,75.0,1105.0,555.0,409.0,140.0,911.0,379.0,672.0,6704.0,5307.0,1092.0,2295.0,268.0,5.790871794871794,62.85858974358975,3.1576954751131225,12.129315653904683,3.1576954751131225,51.74690799396682,943.0,128.0,136.0,201.0,536.0,103.0,115.0,61.0,9.0,9.0,1.0,81.0,73.0,8.0,0.502262443438914,16.695977243294184,11.805838727269597,0.9017306296203043,0.907059400858053,0.03228973792879926,30.96959170759013,0.8021780303030324,0.8054545454545455,88.1421688027992,101.80119786952949,0.8872861250525289,133.64592462751972,1164.8731477942945,lev-tolstoi
kreicerova-sonata. Text/chapter24.xhtml,48.0,739.0,382.0,242.0,71.0,621.0,258.0,434.0,4253.0,3326.0,728.0,1407.0,173.0,4.852605153360397,72.3945709291836,1.452766703315291,10.802699273515776,1.452766703315291,48.142788678394226,630.0,86.0,95.0,140.0,368.0,56.0,87.0,30.0,1.0,2.0,4.0,55.0,49.0,5.0,0.516914749661705,14.052097152054255,9.936333186109735,0.9000987812754252,0.9001263902020584,0.03482523570626809,28.714809238750192,0.8064347826086933,0.8014285714285715,95.59235405422655,88.9792141587368,0.8690728531494082,108.85868263473054,1106.8910863301246,lev-tolstoi
kreicerova-sonata. Text/chapter25.xhtml,96.0,1422.0,653.0,470.0,152.0,1178.0,511.0,819.0,8204.0,6408.0,1394.0,2737.0,345.0,4.718828234880451,71.90104254571027,1.324526503164563,11.174874531127681,1.324526503164563,47.86453938115331,1211.0,138.0,167.0,259.0,675.0,88.0,165.0,67.0,14.0,9.0,5.0,109.0,100.0,2.0,0.45921237693389594,17.31663021889172,12.244706655078227,0.8928014023963025,0.9012549932661512,0.034000003592347214,29.411761598315888,0.8178004369992753,0.8171428571428575,108.64545352276713,107.20776149164962,0.8756023027384668,117.04483317886933,1218.2505541095368,lev-tolstoi
kreicerova-sonata. Text/chapter26.xhtml,82.0,1178.0,555.0,382.0,111.0,999.0,443.0,667.0,6667.0,5163.0,1160.0,2226.0,300.0,4.243665576214337,74.59181808770549,0.42627729926704916,10.336402343420742,0.42627729926704916,46.793697461592615,999.0,104.0,157.0,189.0,551.0,95.0,146.0,45.0,13.0,5.0,4.0,100.0,72.0,7.0,0.47113752122241087,16.170384172258807,11.434188302595818,0.8935731538508883,0.8997130082162459,0.034653797226727755,28.856866491638637,0.7933392382639508,0.7895652173913044,90.54520621917783,84.84367535021815,0.8605889320480831,94.99218964099754,1175.5073353105868,lev-tolstoi
kreicerova-sonata. Text/chapter27.xhtml,140.0,1740.0,685.0,542.0,153.0,1475.0,623.0,1005.0,9683.0,7441.0,1698.0,3256.0,448.0,3.160229885057472,78.21486863711,-0.7832914614121513,9.292525165157597,-0.7832914614121513,43.57799671592775,1451.0,176.0,225.0,320.0,884.0,101.0,270.0,76.0,17.0,3.0,4.0,168.0,116.0,5.0,0.3936781609195402,16.421618075874406,11.611837499506379,0.8750647974244682,0.8864910446208443,0.03855371204179169,25.937839627894036,0.7937433471318722,0.7976470588235295,82.89543800033141,83.97168569109158,0.8555118518787339,92.48303686044379,990.9715335149914,lev-tolstoi
kreicerova-sonata. Text/chapter28.xhtml,71.0,739.0,364.0,247.0,69.0,586.0,231.0,424.0,4145.0,3154.0,694.0,1349.0,209.0,1.835851264556215,83.59508309668567,-1.403190064609575,8.76574098083866,-1.403190064609575,43.83199603575444,623.0,64.0,123.0,135.0,368.0,48.0,122.0,18.0,4.0,3.0,5.0,56.0,54.0,6.0,0.4925575101488498,13.389956448554317,9.468129004565299,0.8927915043671784,0.8923914005197944,0.03737252836144832,26.757622345710796,0.787043478260869,0.7914285714285715,81.460169960781,76.27617953526783,0.8541364125079511,101.5608938547486,1147.4577753579301,lev-tolstoi
kreicerova-sonata. Text/annotation.xhtml,6.0,143.0,116.0,90.0,46.0,71.0,14.0,103.0,1148.0,903.0,131.0,380.0,65.0,14.486934731934735,16.14537296037298,15.175180069930072,24.53004629625252,15.175180069930072,86.77039627039628,136.0,22.0,33.0,42.0,89.0,20.0,7.0,5.0,,3.0,3.0,,7.0,,0.8111888111888111,9.700407316082252,6.859223793473358,0.9578357867829154,0.9439037483736198,0.01956270970473585,51.11766289502902,0.931914893617021,0.87,154.23351731166355,12.666666666666668,0.9286322644182944,253.825,1388.9943352552623,lev-tolstoi
voskresenie. Text/chapter2.xhtml,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,7.0,0.0,3.0,0.0,5.799999999999997,25.234999999999985,13.060500000000005,0.05,13.060500000000005,101.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,lev-tolstoi
