,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
foma-gordeev. Text/chapter13.xhtml,443.0,6011.0,2661.0,2589.0,762.0,4992.0,1662.0,4092.0,39238.0,30295.0,6141.0,12844.0,2784.0,5.657005730277035,60.7768641069251,4.31600385016484,11.645368811646478,4.31600385016484,56.6398851916708,5325.0,1771.0,716.0,459.0,997.0,2880.0,259.0,39.0,403.0,0.4426884045915821,34.32191493227323,24.269258791918222,0.9063490758422337,0.926036256103006,0.024782282180545213,40.35140882969318,0.8963066085206428,0.8945000000000002,340.4532975284005,349.20022343423875,0.9305335174372515,217.7242264623989,1496.3954230840015,maksim-gorkii,149.0,134.0,67.0,746.0,44.0
foma-gordeev. Text/annotation.xhtml,2.0,87.0,63.0,66.0,38.0,45.0,10.0,73.0,803.0,699.0,87.0,291.0,16.0,29.142241379310338,-50.73913793103452,31.45761206896551,38.58769583148427,31.45761206896551,119.36206896551724,86.0,14.0,38.0,10.0,15.0,56.0,,1.0,1.0,0.7241379310344828,6.754308969478107,4.7760176745470915,0.9277250262013248,0.886752184572482,0.037264375541049166,26.835281296970454,0.7215789473684208,0.74,60.979985153037916,26.359840425531914,0.819078555567887,76.34693877551021,1018.2476076247748,maksim-gorkii,,,,6.0,4.0
zhizn-klima-samgina. Text/chapter2.xhtml,717.0,20581.0,6937.0,9207.0,2914.0,16854.0,5466.0,14302.0,134152.0,107006.0,20537.0,45398.0,6601.0,13.577611139765,36.94954310169629,9.558939468177478,17.87354717868145,9.558939468177478,73.43975916637035,18534.0,5753.0,3552.0,1183.0,2633.0,10086.0,859.0,58.0,1672.0,0.33705845197026385,48.35467383115845,34.19191776807584,0.890506908735135,0.9206669654559478,0.025384013521122423,39.39487343748398,0.9062000779270424,0.9060340632603395,350.161303334211,357.47316965830004,0.9295619348784463,226.8195765818738,1444.8342308464598,maksim-gorkii,160.0,215.0,113.0,2840.0,139.0
zhizn-klima-samgina. Text/chapter3.xhtml,1233.0,29232.0,9023.0,13092.0,4622.0,23378.0,7958.0,20042.0,191876.0,153016.0,29233.0,65330.0,9583.0,11.341555269897203,41.698299044342974,8.378306896951244,17.167580401437455,8.378306896951244,68.49456450085697,25997.0,7300.0,5325.0,2100.0,3329.0,14480.0,1456.0,136.0,2500.0,0.30866858237547895,52.77420410365226,37.31699759341544,0.8856865775728379,0.9188805439752207,0.025597188459739573,39.06679054118954,0.9070390295718855,0.9062328767123264,372.8409824586098,383.9066732291891,0.929942632641905,230.54789677263386,1468.4927666277827,maksim-gorkii,433.0,302.0,142.0,3719.0,223.0
zhizn-klima-samgina. Text/chapter4.xhtml,869.0,20199.0,7222.0,9408.0,3535.0,15839.0,5232.0,14142.0,135136.0,108444.0,20166.0,46184.0,6507.0,11.490623417821215,39.202219417657375,9.088497140477564,17.88174171689989,9.088497140477564,69.82052176927033,18031.0,5263.0,3591.0,1516.0,2498.0,10177.0,979.0,113.0,1607.0,0.3575424525966632,50.815072494813016,35.93168234756829,0.8962512981192113,0.9249688963989376,0.024097735837455222,41.497674584252664,0.9158749379651308,0.9159305210918102,432.986226011384,451.51960663458067,0.9345191007779902,249.79941686035264,1527.9160842885944,maksim-gorkii,320.0,241.0,111.0,2535.0,219.0
zhizn-klima-samgina. Text/chapter5.xhtml,1607.0,33198.0,10292.0,14889.0,5000.0,26820.0,8863.0,22957.0,219475.0,173905.0,33456.0,74097.0,12057.0,9.825995300471877,45.83761396490661,7.5471692179520815,15.645022581236361,7.5471692179520815,65.50745692727158,29375.0,8439.0,5988.0,2351.0,4047.0,16605.0,1899.0,115.0,2670.0,0.3100186758238448,56.486389613596394,39.94190914051938,0.8875028638989685,0.9208994858162401,0.02488262579577035,40.18868459493467,0.910153549126488,0.9098944193061836,387.6850837895738,415.6009431915535,0.9346885951976035,250.1887654172446,1463.2479209683179,maksim-gorkii,676.0,477.0,208.0,4134.0,268.0
zhizn-klima-samgina. Text/chapter6.xhtml,1789.0,39935.0,12390.0,18540.0,6342.0,31916.0,10291.0,27967.0,267197.0,213098.0,40203.0,90278.0,13872.0,10.850589656486928,41.952242339651605,8.625587390472354,16.696268396766033,8.625587390472354,68.74796789332694,35700.0,11086.0,6191.0,2834.0,5485.0,19519.0,2116.0,189.0,2976.0,0.3102541630148992,62.0003958032092,43.84090030869919,0.8895363371798388,0.9233105906064301,0.02400677502574807,41.65490778863327,0.9102677631247406,0.9113784461152885,417.34618954710174,458.70211263694614,0.9348571250736577,244.49240321115798,1476.9630104622174,maksim-gorkii,793.0,466.0,271.0,4986.0,398.0
zhizn-klima-samgina. Text/chapter7.xhtml,7041.0,170197.0,33087.0,80175.0,27654.0,135233.0,44097.0,118790.0,1147321.0,911997.0,172644.0,385996.0,62421.0,11.810352509630146,39.10805262094263,9.284400292204808,17.57147854724212,9.284400292204808,71.2794524674051,152112.0,46970.0,27221.0,12014.0,22488.0,83564.0,8735.0,747.0,12920.0,0.1944041316826971,80.20130613017096,56.71088742466212,0.8640219748275133,0.9116658580776191,0.02599489113160361,38.46909744446814,0.9108390342527124,0.9107552159859376,409.78451940075615,441.6639730154933,0.9355032185710287,249.9041350063266,1314.2721963502183,maksim-gorkii,2968.0,2197.0,1088.0,21769.0,1603.0
zhizn-klima-samgina. Text/chapter8.xhtml,4787.0,100100.0,21948.0,46657.0,15135.0,80761.0,25896.0,70000.0,671223.0,528801.0,102602.0,224161.0,39790.0,10.00369763534982,45.06478506619766,7.895352150711204,15.770575586220245,7.895352150711204,67.52118969394925,88523.0,26425.0,16549.0,6945.0,12204.0,49873.0,5361.0,177.0,7859.0,0.21926073926073927,69.37099325578887,49.05269974881456,0.8682036167773073,0.9121920849245321,0.02635698844951683,37.9406016706105,0.9085856213330684,0.907782217782237,388.1463443661158,399.78712017743624,0.9338114876311339,243.1581288032324,1308.4111484563196,maksim-gorkii,2196.0,1522.0,784.0,12966.0,802.0
zhizn-klima-samgina. Text/chapter9.xhtml,7286.0,143513.0,30632.0,70101.0,24871.0,112043.0,35515.0,101399.0,986292.0,784437.0,146428.0,330887.0,54813.0,9.892628581563049,42.66078736287966,8.701973203352743,16.384693295277458,8.701973203352743,68.5435362767514,128004.0,39955.0,22222.0,11054.0,20511.0,70811.0,7772.0,356.0,10292.0,0.21344407823681477,80.85925429133087,57.1761270310875,0.8699379416611306,0.9150579042946527,0.025221020225011274,39.64946663847945,0.9141779122289583,0.9143275261324395,496.85214004348006,522.1087557684639,0.9414463899036084,278.23130676424057,1309.7246708960265,maksim-gorkii,3306.0,1911.0,1096.0,16258.0,1364.0
