,n_sents,n_words,n_unique_words,n_long_words,n_complex_words,n_simple_words,n_monosyllable_words,n_polysyllable_words,n_chars,n_letters,n_spaces,n_syllables,n_punctuations,flesch_kincaid_grade,flesch_reading_easy,coleman_liau_index,smog_index,automated_readability_index,lix,,masc,femn,neut,plur,sing,pres,actv,3per,ttr,rttr,cttr,httr,sttr,mttr,dttr,mattr,msttr,mtld,mamtld,hdd,simpson_index,hapax_index,author,1per,2per,futr,past,pssv
revizor. Text/chapter18.xhtml,150.0,1250.0,598.0,500.0,172.0,1000.0,428.0,744.0,7860.0,6200.0,1185.0,2574.0,450.0,2.5254933333333334,72.24374666666667,2.3471000000000046,9.517330493157335,2.3471000000000046,48.333333333333336,1026.0,216.0,144.0,77.0,158.0,542.0,110.0,5.0,65.0,0.4784,16.913994205982217,11.96,0.8966037670856882,0.9034494178892911,0.03338690258354718,29.951865031432792,0.857935054121563,0.8440000000000002,139.1492242007706,139.74411173955366,0.8952039268619443,151.81349669389343,1083.01297530925,nikolai-gogol,112.0,47.0,34.0,39.0,
revizor. Text/chapter19.xhtml,16.0,97.0,71.0,38.0,10.0,81.0,31.0,60.0,620.0,495.0,86.0,191.0,37.0,0.7548518041237102,80.61251288659795,2.6058920747422647,7.039545764926359,2.6058920747422647,45.237757731958766,82.0,30.0,6.0,4.0,17.0,47.0,7.0,,8.0,0.7319587628865979,7.208957772448696,5.097502926185941,0.9317921715867287,0.897094914634707,0.034330983895571605,29.12820684201221,0.8479166666666665,0.8,101.3276923076923,1.0,0.8535917048971072,110.85714285714286,829.7693713700198,nikolai-gogol,3.0,4.0,2.0,6.0,1.0
revizor. Text/chapter20.xhtml,42.0,380.0,239.0,168.0,74.0,281.0,118.0,237.0,2520.0,2018.0,357.0,842.0,141.0,4.01859649122807,61.904147869674176,4.741751879699251,11.78546111659221,4.741751879699251,53.25814536340852,312.0,69.0,42.0,34.0,51.0,173.0,23.0,1.0,31.0,0.6289473684210526,12.260441307417592,8.66944118881464,0.9219369810968739,0.9142366416291876,0.030259522157401023,33.047448495660234,0.8903927492447123,0.8828571428571428,172.40901326170018,188.28920521945435,0.9090682149684806,190.5026455026455,1027.6137993190293,nikolai-gogol,24.0,13.0,15.0,8.0,1.0
revizor. Text/chapter22.xhtml,38.0,231.0,139.0,80.0,25.0,192.0,77.0,140.0,1397.0,1075.0,219.0,454.0,98.0,0.7358703577124608,80.81375370243792,-0.20282063112326298,7.221122645722914,-0.20282063112326298,40.71098200045569,201.0,23.0,46.0,16.0,18.0,101.0,18.0,,15.0,0.6017316017316018,9.14552855994079,6.466865262269373,0.906669461182831,0.8860981665811777,0.03948640454150509,25.32517233745292,0.7937362637362643,0.825,85.58655073538824,53.791771469637084,0.8650852013380562,127.71634615384616,887.9515275811029,nikolai-gogol,4.0,11.0,4.0,4.0,
revizor. Text/chapter23.xhtml,53.0,580.0,330.0,231.0,82.0,471.0,202.0,351.0,3610.0,2843.0,547.0,1219.0,212.0,4.114850357839945,66.29496421600521,2.714415744957712,11.047093955754772,2.714415744957712,50.77098243331165,496.0,125.0,74.0,31.0,49.0,284.0,37.0,,41.0,0.5689655172413793,13.702504175867094,9.689133621992607,0.9113731009979104,0.9087009574342956,0.03207136180444544,31.180465803026458,0.865499058380414,0.8581818181818183,127.63871885228723,126.05348543911947,0.8902951756646024,147.67810026385223,1232.3395106429314,nikolai-gogol,27.0,16.0,11.0,29.0,3.0
revizor. Text/chapter24.xhtml,23.0,200.0,132.0,88.0,37.0,156.0,53.0,140.0,1277.0,1020.0,188.0,451.0,66.0,4.132369565217388,60.00515217391302,3.325130434782608,11.26362137526616,3.325130434782608,52.69565217391305,161.0,17.0,48.0,19.0,21.0,111.0,21.0,,19.0,0.66,9.333809511662427,6.6,0.9215759617222812,0.901998678134375,0.03408214513739484,29.34087616752746,0.8128476821192049,0.835,106.48474112608471,61.83806471306471,0.8792050542856066,142.14285714285714,949.1748732113922,nikolai-gogol,15.0,5.0,3.0,3.0,
revizor. Text/chapter25.xhtml,26.0,162.0,104.0,51.0,8.0,150.0,57.0,101.0,942.0,723.0,141.0,309.0,76.0,0.38715099715099655,84.09981481481482,-1.3541210826210843,4.954189731553718,-1.3541210826210843,37.712250712250714,142.0,48.0,13.0,10.0,18.0,80.0,3.0,,7.0,0.6419753086419753,8.171011693711216,5.777777777777778,0.9128851019445576,0.8850298278179626,0.039427158214389926,25.3632279192525,0.7962831858407078,0.7799999999999999,58.0618556701031,50.94149688737974,0.834327991469415,85.23529411764706,883.8060058170523,nikolai-gogol,5.0,8.0,6.0,1.0,
revizor. Text/chapter26.xhtml,52.0,552.0,354.0,244.0,84.0,436.0,170.0,350.0,3658.0,2922.0,528.0,1198.0,201.0,4.454654403567449,62.60057971014493,5.074789297658867,11.286910333635038,5.074789297658867,54.818283166109254,478.0,107.0,61.0,44.0,94.0,215.0,44.0,1.0,35.0,0.6413043478260869,15.067240594429851,10.654147998090574,0.9296352653235477,0.9276638612938716,0.02566239901096799,38.967518179910016,0.9089463220675931,0.9090909090909091,259.71652355852706,256.42578961823676,0.9268614048218582,235.41176470588235,1244.4185045078673,nikolai-gogol,24.0,15.0,14.0,25.0,2.0
revizor. Text/chapter27.xhtml,126.0,1116.0,554.0,459.0,150.0,895.0,369.0,676.0,7079.0,5526.0,1053.0,2300.0,458.0,2.7948028673835132,71.45870711725551,2.441525345622125,9.696489615645783,2.441525345622125,49.986175115207374,923.0,220.0,111.0,53.0,150.0,472.0,94.0,,43.0,0.496415770609319,16.583556220472214,11.726345059684258,0.9002008061085306,0.9056535014643672,0.03274612539932956,30.53796404323529,0.8397000937207119,0.8372727272727272,135.5474072918292,135.36880075642674,0.8954626908417924,151.37956204379563,1148.5754855845335,nikolai-gogol,116.0,34.0,25.0,33.0,2.0
revizor. Text/chapter28.xhtml,17.0,132.0,97.0,59.0,23.0,100.0,48.0,75.0,849.0,673.0,123.0,280.0,50.0,2.6995543672014257,69.2560338680927,3.0545151515151474,10.333676385417816,3.0545151515151474,52.46167557932264,114.0,38.0,13.0,6.0,14.0,62.0,5.0,,8.0,0.7348484848484849,8.442766313851346,5.969937312497637,0.9369028379673047,0.9132940752011107,0.029754757004305705,33.60807147090106,0.8359036144578319,0.87,139.39200000000002,112.0,0.8711476433773133,120.08333333333333,1142.7537295942636,nikolai-gogol,7.0,3.0,6.0,5.0,
revizor. Text/chapter29.xhtml,20.0,166.0,105.0,54.0,22.0,138.0,57.0,103.0,1005.0,780.0,157.0,332.0,63.0,2.0770000000000017,75.84500000000001,0.7026078313253024,9.322680302911344,0.7026078313253024,40.83012048192771,147.0,22.0,37.0,7.0,7.0,80.0,6.0,,7.0,0.6325301204819277,8.149580519916494,5.762623649458743,0.9104013043140953,0.8823031903733909,0.0403578078781758,24.77835275440636,0.8078632478632476,0.7866666666666667,73.34384694932783,65.50208259482453,0.8360512814966986,95.76923076923077,932.445396976823,nikolai-gogol,10.0,2.0,1.0,10.0,
revizor. Text/chapter30.xhtml,33.0,306.0,208.0,110.0,42.0,245.0,122.0,165.0,1810.0,1407.0,295.0,597.0,101.0,2.1957932263814612,77.52653297682708,0.3447254901960761,10.024166631854515,0.3447254901960761,45.22043969102793,264.0,50.0,34.0,22.0,27.0,128.0,21.0,,23.0,0.6797385620915033,11.890568569880614,8.407901667926211,0.932551536253147,0.9233102293755319,0.027134361488899056,36.85364037068314,0.8952529182879367,0.88,185.67019027484142,205.975,0.9008442016639164,164.31338028169014,1397.3785316436988,nikolai-gogol,8.0,11.0,4.0,17.0,2.0
revizor. Text/chapter31.xhtml,73.0,521.0,260.0,188.0,69.0,425.0,167.0,327.0,3248.0,2506.0,480.0,1073.0,254.0,1.9414802934293895,73.780910130676,1.0724045039833854,8.645518105783347,1.0724045039833854,43.221439276417854,437.0,114.0,57.0,35.0,49.0,266.0,38.0,,34.0,0.4990403071017274,11.390806812796411,8.054516740514266,0.8888912750511646,0.8821570272801477,0.04089634209506516,24.452064629043363,0.8614830508474552,0.866,121.15432960893855,107.89527793876171,0.8771895072766999,131.7704280155642,831.0327153622078,nikolai-gogol,25.0,25.0,11.0,13.0,
revizor. Text/chapter32.xhtml,22.0,146.0,105.0,53.0,20.0,110.0,57.0,73.0,859.0,660.0,137.0,271.0,57.0,0.21181818181818102,86.65224782067249,-0.8798698630137025,8.479709366283041,-0.8798698630137025,42.93773349937733,123.0,26.0,9.0,8.0,18.0,55.0,14.0,,16.0,0.7191780821917808,8.689861830324864,6.144660227796855,0.9338538739966171,0.911367170521138,0.030561618373178424,32.72078028687194,0.855670103092783,0.87,146.0,127.0125,0.8843850116169788,149.08450704225353,988.0741298146344,nikolai-gogol,1.0,6.0,2.0,3.0,
revizor. Text/chapter34.xhtml,36.0,398.0,237.0,171.0,81.0,296.0,124.0,253.0,2658.0,2133.0,372.0,888.0,149.0,5.114659408151869,58.37031546621998,5.61027931323283,13.311730656290681,5.61027931323283,54.02037967615857,352.0,114.0,34.0,21.0,64.0,174.0,31.0,,22.0,0.5954773869346733,11.879736558674926,8.400242279348781,0.9134058264074105,0.9052033722602949,0.03330694927119212,30.02376446602154,0.8134670487106019,0.8200000000000001,109.22903793581244,83.16690473098731,0.8834739744077191,139.08978873239437,1081.004014178007,nikolai-gogol,9.0,15.0,4.0,9.0,
revizor. Text/chapter35.xhtml,7.0,88.0,71.0,32.0,8.0,75.0,30.0,53.0,523.0,408.0,84.0,175.0,28.0,4.0870454545454535,70.9750974025974,1.5099220779220772,9.501590946955513,1.5099220779220772,48.935064935064936,67.0,10.0,10.0,7.0,13.0,40.0,13.0,,9.0,0.8068181818181818,7.56862543062417,5.351826366255304,0.9520570047929469,0.9261193004077761,0.024655912800723895,40.55822260900599,0.8753846153846152,0.86,127.54823529411762,1.0,0.8887406424259573,153.12,1255.075179296927,nikolai-gogol,12.0,,1.0,4.0,
revizor. Text/chapter36.xhtml,42.0,318.0,199.0,136.0,48.0,248.0,94.0,202.0,2084.0,1652.0,291.0,686.0,133.0,2.8677987421383655,67.34245732255167,3.6042888589398103,9.501590946955513,3.6042888589398103,50.33872416891285,286.0,77.0,35.0,24.0,37.0,146.0,24.0,,7.0,0.6257861635220126,11.159365866431681,7.890863277895534,0.9186493616741206,0.9074955081541567,0.032508694329681634,30.761001652624454,0.8382156133829002,0.8466666666666667,100.75930403141791,92.13064182194617,0.8696927038625866,116.94431554524363,1244.9574921922554,nikolai-gogol,18.0,7.0,4.0,12.0,2.0
revizor. Text/chapter37.xhtml,41.0,266.0,165.0,122.0,28.0,225.0,86.0,167.0,1791.0,1426.0,247.0,561.0,115.0,1.9848890518980369,71.64859801943885,4.339077388593438,7.35627528475251,4.339077388593438,52.352466532184124,226.0,49.0,20.0,18.0,30.0,105.0,27.0,,14.0,0.6203007518796992,10.116799101501936,7.15365724857399,0.9144710037454438,0.8990615672364554,0.035271410761880846,28.351573651279583,0.8193548387096767,0.836,98.44766626966116,77.14413164155432,0.8562239073889322,106.15963855421687,1176.7807942474296,nikolai-gogol,19.0,7.0,4.0,4.0,
revizor. Text/chapter38.xhtml,48.0,357.0,222.0,144.0,35.0,306.0,107.0,234.0,2284.0,1800.0,327.0,743.0,152.0,2.2473721988795496,72.08417717086836,2.6092439600840365,7.599572283690426,2.6092439600840365,47.77363445378151,300.0,84.0,43.0,10.0,55.0,154.0,43.0,,19.0,0.6218487394957983,11.749485953354181,8.30814119307283,0.9191766323726238,0.9100699479377985,0.03166230813594456,31.58329442397007,0.8468831168831182,0.8400000000000001,125.68597844521035,107.26068637965375,0.8716786749489801,114.70397111913357,1205.7283914402276,nikolai-gogol,19.0,19.0,6.0,14.0,
revizor. Text/chapter39.xhtml,50.0,454.0,267.0,209.0,80.0,357.0,137.0,300.0,3070.0,2476.0,425.0,1028.0,160.0,4.388715418502205,58.94553744493393,5.647380528634365,11.233273223882176,5.647380528634365,55.115242290748895,381.0,94.0,32.0,31.0,73.0,175.0,32.0,,28.0,0.5881057268722467,12.530930894186987,8.860706209859625,0.9132330653702193,0.9071199129840024,0.03265529196026538,30.622907956749852,0.860641975308642,0.8444444444444446,123.16394927536233,126.16036414565826,0.8777519645652208,129.34716981132075,1313.7665050237897,nikolai-gogol,29.0,16.0,9.0,13.0,1.0
revizor. Text/chapter40.xhtml,55.0,450.0,224.0,198.0,60.0,372.0,165.0,267.0,2972.0,2360.0,410.0,941.0,194.0,2.6842020202020187,70.52285858585861,4.085222222222228,9.2842839462516,4.085222222222228,52.18181818181818,379.0,113.0,25.0,24.0,75.0,176.0,33.0,,23.0,0.49777777777777776,10.55946126571911,7.466666666666667,0.8858122016731774,0.8757389888867454,0.04303756210027102,23.235516864783165,0.7957605985037408,0.7955555555555556,61.59518249969277,78.20770202020202,0.8506098985879368,107.81750266808965,914.3378509010415,nikolai-gogol,28.0,20.0,14.0,16.0,4.0
revizor. Text/chapter41.xhtml,15.0,131.0,108.0,57.0,19.0,104.0,32.0,91.0,855.0,672.0,125.0,283.0,51.0,3.4595623409669223,65.64731552162851,3.5220664122137464,10.000390277103039,3.5220664122137464,52.24478371501272,106.0,23.0,13.0,6.0,18.0,56.0,4.0,,14.0,0.8244274809160306,9.436003811939209,6.6722622827243265,0.9603983011809334,0.946132958329612,0.018704121148915464,53.46415327608075,0.9129268292682927,0.95,208.9165217391305,10.0,0.936841193379673,304.10714285714283,1203.5015785832766,nikolai-gogol,10.0,1.0,5.0,6.0,1.0
revizor. Text/chapter42.xhtml,59.0,433.0,268.0,177.0,53.0,360.0,134.0,279.0,2782.0,2171.0,402.0,900.0,203.0,2.179311856578071,72.37515344267429,2.4053283947234476,8.429553404223718,2.4053283947234476,48.216581203272405,355.0,83.0,37.0,20.0,67.0,181.0,49.0,,51.0,0.6189376443418014,12.8792580797033,9.107010724809838,0.9209732376876228,0.9150812344457386,0.02997425568373831,33.361962697292995,0.8799999999999994,0.885,150.15340069616607,169.8215523882897,0.9063440667774957,179.17241379310346,1039.086406209856,nikolai-gogol,12.0,15.0,12.0,14.0,
revizor. Text/chapter43.xhtml,63.0,531.0,292.0,203.0,44.0,469.0,185.0,328.0,3244.0,2519.0,508.0,1060.0,215.0,2.11250470809793,75.9042224912564,1.0208997847726664,7.4386485221674326,1.0208997847726664,46.658326607479154,434.0,94.0,53.0,31.0,72.0,222.0,37.0,,46.0,0.5499058380414312,12.671720668800189,8.960259614210347,0.9046962710379739,0.9000940722161132,0.03497263240770242,28.593786945810766,0.8637759336099559,0.85,144.5393815736786,135.00772860180757,0.8878763057576988,145.3667355371901,982.3797532787518,nikolai-gogol,28.0,23.0,24.0,5.0,1.0
revizor. Text/chapter44.xhtml,50.0,445.0,262.0,175.0,48.0,374.0,153.0,269.0,2760.0,2158.0,414.0,921.0,181.0,2.8795393258426962,70.87825842696631,1.81393314606742,8.712526190436598,1.81393314606742,48.225842696629215,382.0,100.0,77.0,25.0,41.0,229.0,31.0,,38.0,0.5887640449438202,12.419991134267402,8.782259953317281,0.9131316291186656,0.9066932437959594,0.03280081655105455,30.48704590763762,0.8071212121212116,0.7875000000000001,103.72396264823539,90.98356768068678,0.8868320757041954,144.2189781021898,1217.3163559245688,nikolai-gogol,17.0,8.0,3.0,26.0,1.0
revizor. Text/chapter45.xhtml,64.0,539.0,246.0,208.0,77.0,431.0,188.0,320.0,3296.0,2588.0,486.0,1104.0,206.0,2.4888523307050114,72.78749014378477,1.3796272176484266,9.747601185344756,1.3796272176484266,47.0118564471243,428.0,60.0,92.0,30.0,114.0,204.0,43.0,,19.0,0.45640074211502785,10.595970109447121,7.4924823176400235,0.8752910165597084,0.8674484453833581,0.04565437705326267,21.903704848132094,0.7766938775510194,0.776,64.66273914363802,63.81742690058479,0.8401485127266077,94.8273381294964,861.5010720973562,nikolai-gogol,40.0,52.0,9.0,22.0,1.0
revizor. Text/chapter46.xhtml,23.0,200.0,123.0,83.0,34.0,154.0,64.0,124.0,1250.0,987.0,180.0,424.0,75.0,3.14686956521739,68.11865217391303,2.29223043478261,10.799406454797158,2.29223043478261,50.19565217391305,167.0,20.0,51.0,15.0,39.0,87.0,16.0,,4.0,0.615,8.697413408594533,6.15,0.9082476609942404,0.8845174386802419,0.03987446455659251,25.078706664028882,0.8068874172185427,0.7949999999999999,77.591191054544,78.23293018983466,0.845510810210283,101.53061224489795,884.4584045833429,nikolai-gogol,19.0,10.0,4.0,4.0,2.0
revizor. Text/chapter47.xhtml,24.0,224.0,138.0,86.0,31.0,183.0,74.0,140.0,1441.0,1142.0,211.0,474.0,83.0,3.430654761904762,67.52577380952381,3.492821428571432,10.098105128165544,3.492821428571432,47.72619047619048,185.0,16.0,55.0,22.0,21.0,115.0,10.0,,7.0,0.6160714285714286,9.220512845978641,6.519887159409169,0.9104907523410938,0.8902641928540124,0.038085022074542466,26.25704136504727,0.8197714285714286,0.82,111.9697133585722,79.84499092353074,0.8640229804279251,121.24271844660194,926.6692186574697,nikolai-gogol,6.0,26.0,7.0,10.0,
revizor. Text/chapter48.xhtml,50.0,333.0,198.0,129.0,52.0,267.0,102.0,217.0,2146.0,1703.0,304.0,719.0,133.0,2.4352618618618607,68.41153453453455,2.8424843543543545,9.066243120058378,2.8424843543543545,45.39873873873874,260.0,58.0,53.0,23.0,56.0,161.0,30.0,,33.0,0.5945945945945946,10.85033316215358,7.6723441570920725,0.9104919584561261,0.8986518189761953,0.03548464634219222,28.181202381351408,0.8370422535211285,0.8300000000000001,98.76192432642058,97.21294438073394,0.8714762711956895,112.35365853658537,876.2174705864059,nikolai-gogol,26.0,14.0,10.0,11.0,1.0
revizor. Text/chapter49.xhtml,59.0,378.0,213.0,163.0,56.0,302.0,97.0,261.0,2484.0,1966.0,334.0,825.0,173.0,2.4818617164379866,67.33555152004305,3.3157260335395975,8.663446326942466,3.3157260335395975,49.52847278271007,336.0,82.0,41.0,24.0,50.0,163.0,22.0,,16.0,0.5634920634920635,10.955537847308525,7.74673510337773,0.9033509257277872,0.8926464087119259,0.037497335308037234,26.668561693386742,0.8386626139817643,0.84,103.92443476025511,116.9657385229541,0.882248481315952,141.9382470119522,871.4377037544903,nikolai-gogol,13.0,13.0,6.0,8.0,1.0
revizor. Text/chapter51.xhtml,54.0,585.0,312.0,223.0,89.0,472.0,213.0,348.0,3658.0,2879.0,565.0,1203.0,211.0,3.730128205128203,69.16141025641025,2.806510683760685,11.400292866184035,2.806510683760685,48.952991452991455,509.0,81.0,83.0,43.0,58.0,261.0,31.0,,27.0,0.5333333333333333,12.89961239727768,9.121403400793103,0.9013422859875758,0.8979483652899659,0.03565311055358316,28.04804362012389,0.8308582089552223,0.8290909090909092,104.68250539956804,105.72983870967741,0.8857816569682697,142.82608695652175,948.739154085319,nikolai-gogol,19.0,30.0,16.0,19.0,
revizor. Text/chapter52.xhtml,48.0,410.0,239.0,150.0,53.0,336.0,152.0,237.0,2452.0,1899.0,389.0,812.0,154.0,2.0529776422764208,76.70351626016262,0.3504253048780477,9.340225598265452,0.3504253048780477,45.1270325203252,336.0,78.0,40.0,22.0,52.0,178.0,24.0,,19.0,0.5829268292682926,11.803368679962595,8.34624203444646,0.910292634743288,0.9021370649564955,0.034334016962787206,29.125633656086503,0.8398337950138502,0.8450000000000001,139.43984165256865,110.66662326765616,0.8796334648500895,135.45234248788367,1135.3733486473031,nikolai-gogol,13.0,42.0,14.0,20.0,
revizor. Text/chapter53.xhtml,14.0,87.0,62.0,43.0,23.0,56.0,14.0,65.0,640.0,520.0,82.0,214.0,35.0,4.411321839080461,50.92424466338261,8.11919909688013,11.382059452216595,8.11919909688013,55.639573070607554,76.0,20.0,26.0,8.0,5.0,61.0,7.0,,6.0,0.7126436781609196,6.647097715994327,4.700207870189201,0.9241422517865073,0.8809110998279281,0.039111624239395515,25.567846374243427,0.8542105263157893,0.86,73.12231549295775,48.938095238095244,0.8373508725622396,103.91666666666667,668.0566314575242,nikolai-gogol,3.0,2.0,2.0,3.0,
revizor. Text/chapter54.xhtml,12.0,73.0,41.0,32.0,12.0,50.0,10.0,52.0,497.0,397.0,68.0,164.0,30.0,2.7908333333333353,63.90748858447489,4.710484589041094,8.891153770860452,4.710484589041094,49.9189497716895,60.0,11.0,23.0,4.0,5.0,46.0,10.0,,8.0,0.5616438356164384,4.798687035041354,3.3931841432697087,0.8655418184562368,0.7679811222585272,0.07216043146439534,13.858010265548506,0.6349999999999998,0.66,38.25903614457832,35.29069767441861,0.6890544139149286,46.92857142857143,449.38963097022753,nikolai-gogol,4.0,1.0,,1.0,
revizor. Text/chapter55.xhtml,14.0,125.0,82.0,63.0,20.0,95.0,22.0,93.0,902.0,730.0,115.0,295.0,56.0,5.013000000000002,53.391857142857134,8.022864285714284,10.61719992645707,8.022864285714284,59.32857142857143,110.0,27.0,24.0,12.0,16.0,63.0,14.0,,7.0,0.656,7.33430296619931,5.186135362676143,0.9126828717071722,0.8766088523411704,0.04164085618894523,24.014876050158616,0.7386842105263158,0.71,78.60576109399858,40.68622997848434,0.8255837255478565,91.17647058823529,904.9822161403191,nikolai-gogol,4.0,4.0,3.0,1.0,
revizor. Text/chapter56.xhtml,14.0,146.0,102.0,55.0,17.0,124.0,37.0,104.0,954.0,727.0,143.0,320.0,80.0,4.52,61.551829745596876,3.0565841487279783,9.792476951107309,3.0565841487279783,48.09980430528376,118.0,26.0,34.0,6.0,12.0,86.0,19.0,,9.0,0.6986301369863014,8.441580063744153,5.969098507002659,0.9280372959491074,0.9032751107146377,0.033249062812731975,30.076035695570724,0.8309278350515462,0.86,111.03631255301102,66.09186939820742,0.8778625891633183,139.27631578947367,883.0559651600503,nikolai-gogol,16.0,3.0,1.0,8.0,1.0
revizor. Text/chapter57.xhtml,72.0,655.0,390.0,289.0,113.0,510.0,187.0,436.0,4333.0,3471.0,599.0,1449.0,250.0,4.0167991942324015,62.054565309584405,4.684992207379139,11.125973747009537,4.684992207379139,53.21935962680237,561.0,148.0,98.0,59.0,74.0,350.0,31.0,,33.0,0.5954198473282443,15.238560970708988,10.775289797912983,0.9200435371195143,0.9195151287378234,0.02839119747328437,35.22218465568361,0.8761056105610545,0.8723076923076923,236.4276983253881,217.373337503492,0.9200472252865497,209.1650390625,1036.164251883769,nikolai-gogol,42.0,19.0,18.0,25.0,1.0
revizor. Text/chapter58.xhtml,186.0,1413.0,662.0,600.0,204.0,1117.0,453.0,868.0,9158.0,7198.0,1308.0,2959.0,624.0,2.4195389585188245,71.10222256466453,2.980123752939299,9.309074014873367,2.980123752939299,50.05961920416409,1226.0,375.0,122.0,89.0,167.0,673.0,108.0,,75.0,0.46850672328379334,17.61111725058553,12.452940432160414,0.8954700596065706,0.9037807966192963,0.033182610505453944,30.13626670016328,0.8247800586510236,0.827857142857143,118.75831091648493,133.81961936090227,0.9107906241681459,191.21679125934446,1171.569725361655,nikolai-gogol,72.0,40.0,15.0,73.0,6.0
revizor. Text/chapter59.xhtml,10.0,208.0,157.0,95.0,48.0,142.0,53.0,137.0,1454.0,1202.0,202.0,504.0,46.0,11.290461538461539,34.16807692307694,10.96997692307692,19.419997418688524,10.96997692307692,66.47307692307692,189.0,62.0,31.0,19.0,35.0,107.0,9.0,13.0,16.0,0.7548076923076923,10.885991350920122,7.697558304173723,0.9472992473022785,0.9356034547084191,0.02273482001239973,43.98539330659284,0.8779874213836485,0.88,237.5278431372549,1.0,0.9096355563361164,180.9075630252101,1516.3997649548069,nikolai-gogol,,3.0,1.0,22.0,8.0
revizor. Text/annotation.xhtml,7.0,164.0,132.0,77.0,35.0,101.0,33.0,103.0,1105.0,846.0,151.0,359.0,60.0,10.869878048780489,44.817491289198614,7.824153310104528,19.819420831172575,7.824153310104528,70.37979094076655,158.0,56.0,26.0,14.0,15.0,91.0,3.0,,4.0,0.8048780487804879,10.307468284648001,7.288480720939871,0.9574372175605321,0.945301661151854,0.01921705788739253,52.037101925787304,0.8817391304347832,0.86,170.34938021454116,12.857142857142858,0.9140176130172918,157.24705882352941,1624.2188219016452,nikolai-gogol,2.0,,,17.0,5.0
mirgorod. Text/chapter1.xhtml,1.0,8.0,8.0,6.0,3.0,5.0,2.0,6.0,72.0,62.0,7.0,26.0,3.0,11.054999999999996,1.1099999999999852,19.719,15.363327528659473,19.719,83.0,8.0,2.0,1.0,1.0,2.0,3.0,,,,1.0,2.82842712474619,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,nikolai-gogol,,,,,
mirgorod. Text/chapter2.xhtml,256.0,7041.0,2982.0,3153.0,1374.0,5385.0,1951.0,4808.0,46227.0,37410.0,7077.0,16153.0,1737.0,13.634094860682076,33.20244708448729,9.93526325744967,20.532470020117202,9.93526325744967,72.28447719162762,6293.0,1494.0,1218.0,589.0,1147.0,3243.0,262.0,60.0,469.0,0.42351938645078824,35.537794112694314,25.129015205497517,0.9030243854247039,0.9242976902289425,0.025203958042036546,39.67630791688135,0.879639588100691,0.8798571428571432,237.16097274907912,277.6793693072299,0.9263899731182439,211.90605254832892,1593.561890938477,nikolai-gogol,183.0,96.0,75.0,812.0,74.0
mirgorod. Text/chapter4.xhtml,134.0,3369.0,1744.0,1437.0,404.0,2830.0,1009.0,2225.0,21166.0,16813.0,3406.0,7125.0,942.0,11.168035047381082,47.0469316596005,7.252812607709451,15.401373121529486,7.252812607709451,67.79539745617416,3053.0,703.0,568.0,229.0,696.0,1377.0,74.0,31.0,220.0,0.5176610270109825,30.04664425700736,21.246185906029737,0.9189356630956605,0.9329368095182545,0.022980670069827333,43.514832115925046,0.8729879518072651,0.8755223880597017,262.5824058407175,315.5664246852356,0.9226557209138176,187.89190263288623,1762.7397602152078,nikolai-gogol,53.0,43.0,44.0,387.0,26.0
mirgorod. Text/chapter5.xhtml,151.0,3089.0,1728.0,1437.0,540.0,2412.0,778.0,2174.0,20554.0,16754.0,3091.0,7121.0,707.0,10.262427841582717,41.693825269756616,8.650923958974268,16.76927150730855,8.650923958974268,66.97686299816267,2885.0,752.0,554.0,241.0,604.0,1363.0,43.0,49.0,182.0,0.5594043379734542,31.09100667424792,21.984661653276916,0.9277113658112431,0.9399650764200606,0.02071415646552769,48.276163292682995,0.8949013157895165,0.8934426229508199,396.9222014795771,451.42463962595434,0.9292999311805452,211.56032647267565,1884.5016704827826,nikolai-gogol,10.0,12.0,10.0,481.0,42.0
mirgorod. Text/chapter6.xhtml,86.0,2394.0,1219.0,1017.0,346.0,1951.0,703.0,1594.0,15242.0,12202.0,2420.0,5210.0,617.0,12.937032892308292,39.8525594023819,8.674987167531235,17.783635102637263,8.674987167531235,70.31841230984438,2249.0,496.0,391.0,185.0,436.0,1008.0,67.0,28.0,87.0,0.5091896407685882,24.913895161072446,17.616784214165037,0.9132554982352803,0.9254776941117456,0.025670705784987362,38.95490869537432,0.8685458422174893,0.8642553191489359,219.90353240052434,222.78370364666972,0.9199034897820283,179.08227571115972,1311.8319535222315,nikolai-gogol,29.0,29.0,8.0,318.0,11.0
mirgorod. Text/chapter7.xhtml,98.0,2575.0,1236.0,1037.0,293.0,2187.0,857.0,1623.0,15884.0,12548.0,2596.0,5315.0,738.0,11.352766990291261,48.62576877352885,6.835321388943925,15.337262271417407,6.835321388943925,66.5473548642758,2368.0,562.0,281.0,185.0,530.0,960.0,86.0,5.0,112.0,0.48,24.357339756221325,17.223240113288785,0.9065436582884684,0.92003188979426,0.02740030653335721,36.495942072129644,0.8609342834521033,0.8623529411764711,219.24415033124203,225.77990616692165,0.9140937164805588,175.03961337347488,1386.7502172546817,nikolai-gogol,49.0,46.0,45.0,255.0,9.0
